   data ;valor
01/01/2009;115,2
01/02/2009;115,26
 01/03/2009 ;127,81
 01/04/2009;123,09
 01/05/2009;124,41
 01/06/2009;125,61
01/07/2009;131,44
01/08/2009;130,7
01/09/2009;129,81
01/10/2009;132,48
01/11/2009;129,62
01/12/2009;129,23
01/01/2010;125,81
01/02/2010;127,61
01/03/2010;143,44
01/04/2010;136,87
01/05/2010;136,52
01/06/2010;136,09
01/07/2010;141,64
01/08/2010;141,55
01/09/2010;139,46
01/10/2010;139,33
01/11/2010;139,68
01/12/2010;136,69
01/01/2011;132,66
01/02/2011;136,18
01/03/2011;144,93
01/04/2011;139,89
01/05/2011;143,23
01/06/2011;141,75
01/07/2011;145,19
01/08/2011;147,51
01/09/2011;142,3
01/10/2011;142,02
01/11/2011;141,87
01/12/2011;139,23
